#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18754
#Date Time: 2019-04-23 16:58:36.115
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Wavegen 1 Condition: Rising
#Channel 1: Range: 500 mV/div Offset: -2.5 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 500 Hz
#Amplitude: 1 V
#Offset: 3 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.00512,3.95364
-0.00511875,3.95398
-0.0051175,3.95331
-0.00511625,3.95364
-0.005115,3.95364
-0.00511375,3.95331
-0.0051125,3.95331
-0.00511125,3.95364
-0.00511,3.95364
-0.00510875,3.95331
-0.0051075,3.95398
-0.00510625,3.95331
-0.005105,3.95364
-0.00510375,3.95364
-0.0051025,3.95297
-0.00510125,3.95398
-0.0051,3.95364
-0.00509875,3.95364
-0.0050975,3.95364
-0.00509625,3.95398
-0.005095,3.95364
-0.00509375,3.95331
-0.0050925,3.95364
-0.00509125,3.95297
-0.00509,3.95331
-0.00508875,3.95297
-0.0050875,3.95297
-0.00508625,3.95364
-0.005085,3.95331
-0.00508375,3.95398
-0.0050825,3.95364
-0.00508125,3.95297
-0.00508,3.95297
-0.00507875,3.95331
-0.0050775,3.95364
-0.00507625,3.95331
-0.005075,3.95364
-0.00507375,3.95364
-0.0050725,3.95331
-0.00507125,3.95297
-0.00507,3.95297
-0.00506875,3.95331
-0.0050675,3.95364
-0.00506625,3.95331
-0.005065,3.95331
-0.00506375,3.95364
-0.0050625,3.95398
-0.00506125,3.95331
-0.00506,3.95364
-0.00505875,3.95331
-0.0050575,3.95331
-0.00505625,3.95331
-0.005055,3.95331
-0.00505375,3.95331
-0.0050525,3.95297
-0.00505125,3.95331
-0.00505,3.95297
-0.00504875,3.95263
-0.0050475,3.95331
-0.00504625,3.95331
-0.005045,3.95331
-0.00504375,3.95297
-0.0050425,3.95364
-0.00504125,3.95364
-0.00504,3.95364
-0.00503875,3.95398
-0.0050375,3.95364
-0.00503625,3.95331
-0.005035,3.95331
-0.00503375,3.95331
-0.0050325,3.95331
-0.00503125,3.95364
-0.00503,3.95364
-0.00502875,3.95331
-0.0050275,3.95364
-0.00502625,3.95364
-0.005025,3.95331
-0.00502375,3.95331
-0.0050225,3.95331
-0.00502125,3.95364
-0.00502,3.95331
-0.00501875,3.95364
-0.0050175,3.95331
-0.00501625,3.95364
-0.005015,3.95398
-0.00501375,3.95398
-0.0050125,3.95364
-0.00501125,3.95364
-0.00501,3.95331
-0.00500875,3.95331
-0.0050075,3.95398
-0.00500625,3.95331
-0.005005,3.95297
-0.00500375,3.95364
-0.0050025,3.95331
-0.00500125,3.95263
-0.005,3.93212
-0.00499875,3.89144
-0.0049975,3.84941
-0.00499625,3.80771
-0.004995,3.76635
-0.00499375,3.72432
-0.0049925,3.68229
-0.00499125,3.64093
-0.00499,3.5989
-0.00498875,3.55721
-0.0049875,3.51551
-0.00498625,3.47416
-0.004985,3.43246
-0.00498375,3.3911
-0.0049825,3.35008
-0.00498125,3.30906
-0.00498,3.2677
-0.00497875,3.22668
-0.0049775,3.18532
-0.00497625,3.14396
-0.004975,3.10328
-0.00497375,3.06259
-0.0049725,3.02157
-0.00497125,2.98088
-0.00497,2.94053
-0.00496875,2.89985
-0.0049675,2.8595
-0.00496625,2.81949
-0.004965,2.77947
-0.00496375,2.73879
-0.0049625,2.69844
-0.00496125,2.65842
-0.00496,2.61807
-0.00495875,2.57772
-0.0049575,2.53738
-0.00495625,2.49803
-0.004955,2.45836
-0.00495375,2.41902
-0.0049525,2.37968
-0.00495125,2.33966
-0.00495,2.30066
-0.00494875,2.26199
-0.0049475,2.225
-0.00494625,2.19003
-0.004945,2.15876
-0.00494375,2.13153
-0.0049425,2.10799
-0.00494125,2.08748
-0.00494,2.071
-0.00493875,2.05688
-0.0049375,2.04444
-0.00493625,2.03368
-0.004935,2.0246
-0.00493375,2.01754
-0.0049325,2.01115
-0.00493125,2.0051
-0.00493,2.00005
-0.00492875,1.99568
-0.0049275,1.99198
-0.00492625,1.98929
