#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18754
#Date Time: 2019-04-23 16:56:17.970
#Sample rate: 7.69231e+06Hz
#Samples: 8192
#Trigger: Source: Wavegen 1 Condition: Rising
#Channel 1: Range: 100 mV/div Offset: -3 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 5 kHz
#Amplitude: 50 mV
#Offset: 3 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.00053248,3.01164
-0.00053235,3.01164
-0.00053222,3.01164
-0.00053209,3.01131
-0.00053196,3.01097
-0.00053183,3.01164
-0.0005317,3.01131
-0.00053157,3.01097
-0.00053144,3.01131
-0.00053131,3.01131
-0.00053118,3.01164
-0.00053105,3.01164
-0.00053092,3.01131
-0.00053079,3.01131
-0.00053066,3.01164
-0.00053053,3.01164
-0.0005304,3.01131
-0.00053027,3.01164
-0.00053014,3.01131
-0.00053001,3.01198
-0.00052988,3.01164
-0.00052975,3.01131
-0.00052962,3.01164
-0.00052949,3.01164
-0.00052936,3.01198
-0.00052923,3.01164
-0.0005291,3.01198
-0.00052897,3.01198
-0.00052884,3.01131
-0.00052871,3.01131
-0.00052858,3.01164
-0.00052845,3.01198
-0.00052832,3.01198
-0.00052819,3.01164
-0.00052806,3.01164
-0.00052793,3.01164
-0.0005278,3.01164
-0.00052767,3.01198
-0.00052754,3.01198
-0.00052741,3.01198
-0.00052728,3.01232
-0.00052715,3.01198
-0.00052702,3.01198
-0.00052689,3.01198
-0.00052676,3.01232
-0.00052663,3.01164
-0.0005265,3.01198
-0.00052637,3.01164
-0.00052624,3.01232
-0.00052611,3.01164
-0.00052598,3.01198
-0.00052585,3.01164
-0.00052572,3.01164
-0.00052559,3.01198
-0.00052546,3.01131
-0.00052533,3.01131
-0.0005252,3.01164
-0.00052507,3.01198
-0.00052494,3.01198
-0.00052481,3.01164
-0.00052468,3.01131
-0.00052455,3.01198
-0.00052442,3.01198
-0.00052429,3.01131
-0.00052416,3.01131
-0.00052403,3.01131
-0.0005239,3.01131
-0.00052377,3.01063
-0.00052364,3.01063
-0.00052351,3.01097
-0.00052338,3.01063
-0.00052325,3.01063
-0.00052312,3.01131
-0.00052299,3.01131
-0.00052286,3.01164
-0.00052273,3.01131
-0.0005226,3.01063
-0.00052247,3.01097
-0.00052234,3.01097
-0.00052221,3.01131
-0.00052208,3.01097
-0.00052195,3.01164
-0.00052182,3.01097
-0.00052169,3.01097
-0.00052156,3.01097
-0.00052143,3.01131
-0.0005213,3.01164
-0.00052117,3.01131
-0.00052104,3.01097
-0.00052091,3.01164
-0.00052078,3.01063
-0.00052065,3.01164
-0.00052052,3.01097
-0.00052039,3.01164
-0.00052026,3.01097
-0.00052013,3.01063
-0.00052,3.01131
-0.00051987,3.01097
-0.00051974,3.01097
-0.00051961,3.01131
-0.00051948,3.01131
-0.00051935,3.01164
-0.00051922,3.01097
-0.00051909,3.01164
-0.00051896,3.01097
-0.00051883,3.01131
-0.0005187,3.01164
-0.00051857,3.01164
-0.00051844,3.01131
-0.00051831,3.01131
-0.00051818,3.01097
-0.00051805,3.01164
-0.00051792,3.01164
-0.00051779,3.01097
-0.00051766,3.01097
-0.00051753,3.01164
-0.0005174,3.01097
-0.00051727,3.01063
-0.00051714,3.01097
-0.00051701,3.01097
-0.00051688,3.01131
-0.00051675,3.01097
-0.00051662,3.01164
-0.00051649,3.01131
-0.00051636,3.01131
-0.00051623,3.01131
-0.0005161,3.01131
-0.00051597,3.01198
-0.00051584,3.01198
-0.00051571,3.01131
-0.00051558,3.01097
-0.00051545,3.01198
-0.00051532,3.01198
-0.00051519,3.01232
-0.00051506,3.01232
-0.00051493,3.01198
-0.0005148,3.01232
-0.00051467,3.01198
-0.00051454,3.01198
-0.00051441,3.01164
-0.00051428,3.01198
-0.00051415,3.01198
-0.00051402,3.01232
-0.00051389,3.01164
-0.00051376,3.01097
-0.00051363,3.01164
-0.0005135,3.01097
-0.00051337,3.01131
-0.00051324,3.01131
-0.00051311,3.01164
-0.00051298,3.01131
-0.00051285,3.01164
-0.00051272,3.01164
-0.00051259,3.01198
-0.00051246,3.01131
-0.00051233,3.01097
-0.0005122,3.01164
-0.00051207,3.01164
-0.00051194,3.01198
-0.00051181,3.01198
-0.00051168,3.01131
-0.00051155,3.01164
-0.00051142,3.01198
-0.00051129,3.01164
-0.00051116,3.01131
-0.00051103,3.01131
-0.0005109,3.01131
-0.00051077,3.01198
-0.00051064,3.01164
-0.00051051,3.01164
-0.00051038,3.01097
-0.00051025,3.01097
-0.00051012,3.01131
-0.00050999,3.01164
-0.00050986,3.01164
-0.00050973,3.01164
-0.0005096,3.01164
-0.00050947,3.01131
-0.00050934,3.01198
-0.00050921,3.01198
-0.00050908,3.01198
-0.00050895,3.01164
-0.00050882,3.01198
-0.00050869,3.01164
-0.00050856,3.01232
-0.00050843,3.01198
-0.0005083,3.01265
-0.00050817,3.01265
-0.00050804,3.01198
-0.00050791,3.01198
-0.00050778,3.01265
-0.00050765,3.01198
-0.00050752,3.01198
-0.00050739,3.01198
-0.00050726,3.01198
-0.00050713,3.01164
-0.000507,3.01164
-0.00050687,3.01131
-0.00050674,3.01131
-0.00050661,3.01131
-0.00050648,3.01164
-0.00050635,3.01097
-0.00050622,3.01131
-0.00050609,3.01164
-0.00050596,3.01063
-0.00050583,3.01198
-0.0005057,3.01131
-0.00050557,3.01164
-0.00050544,3.01164
-0.00050531,3.01063
-0.00050518,3.0103
-0.00050505,3.01097
-0.00050492,3.01097
-0.00050479,3.01131
-0.00050466,3.01131
-0.00050453,3.01131
-0.0005044,3.01131
-0.00050427,3.01131
-0.00050414,3.01131
-0.00050401,3.01131
-0.00050388,3.01131
-0.00050375,3.01164
-0.00050362,3.01164
-0.00050349,3.01131
-0.00050336,3.01198
-0.00050323,3.01097
